rank,usersname,Mode,compute,corr,mmc,fnc,stake,roi_1_day,roi_3_months,roi_1_year
2,LABRAT,No Mode,No Compute,0.0454,0.0178,0.0259,92.85,0.014,0.565,2.001
4,EZEKIEL_47_V12,No Mode,No Compute,0.04,0.0128,0.0207,0.0,0.0,0.0,0.0
8,CALD,No Mode,No Compute,0.0388,0.0098,0.0254,10.0,0.015,0.0,0.0
10,UUAZED4,No Mode,No Compute,0.0387,0.0146,0.0175,0.0,0.028,0.0,0.0
12,UUAZED12,No Mode,No Compute,0.038,0.0105,0.0173,0.0,0.0,0.0,0.0
32,DWARF_CORRELATION,No Mode,No Compute,0.0364,0.0072,0.0223,0.0,0.0,0.0,0.0
33,DATACON,No Mode,No Compute,0.0364,0.0076,0.0182,139.84,0.02,0.0,0.0
34,SINOOKAS,No Mode,No Compute,0.0363,0.0098,0.0166,0.0,0.0,0.0,0.0
35,FXH6,No Mode,No Compute,0.0362,0.0115,0.0232,119.53,0.011,0.386,0.0
39,EIT_4,No Mode,No Compute,0.0361,0.0081,0.0215,0.018,0.013,0.457,0.0
52,QUANTAQUETZALCOATLUS,No Mode,No Compute,0.0355,0.0086,0.0164,0.0,0.0,0.0,0.0
53,YUDANSHAI,No Mode,No Compute,0.0355,0.0062,0.0214,183.66,0.0069,0.406,2.44
55,MATTIASL,No Mode,No Compute,0.0355,0.009,0.016,0.0,0.012,0.448,0.0
58,ATRIA_MONITOR2,No Mode,No Compute,0.0354,0.006,0.0222,116.66,0.019,0.0,0.0
60,AHKITCHAI,No Mode,No Compute,0.0354,0.0079,0.0161,39.72,0.011,0.39,2.115
66,FXH1,No Mode,No Compute,0.0351,0.0053,0.0217,102.25,0.016,0.352,0.0
70,NEKOG_EXAMPLE,No Mode,No Compute,0.035,0.0054,0.0212,0.019,0.015,0.361,0.0
71,GENESIS_1_V11,No Mode,No Compute,0.035,0.0079,0.0144,0.0,0.0,0.0,0.0
72,SUPERNOVALEX,No Mode,No Compute,0.035,0.0051,0.0179,0.019,0.037,0.647,0.0
73,BOBBLES,No Mode,No Compute,0.0349,0.0046,0.0204,7.01,0.017,0.384,2.118
74,YUDANSHAIII,No Mode,No Compute,0.0348,0.0087,0.0137,2.52,0.0021,0.372,2.563
75,UUAZED13,No Mode,No Compute,0.0348,0.0104,0.0148,20.0,0.0055,0.0,0.0
78,NOELBOT,No Mode,No Compute,0.0347,0.0046,0.0201,45.8,0.015,0.39,1.753
82,YUDANSHAIV,No Mode,No Compute,0.0346,0.0086,0.0133,2.44,0.003,0.372,0.0
89,HIRO_GRADIENTBOOST,No Mode,No Compute,0.0344,0.0076,0.0184,0.0,0.0,0.0,0.0
90,GAUSSNEWTON_NEW,No Mode,No Compute,0.0343,0.0166,0.0191,0.0,0.0,0.0,0.0
91,DEFAULT_EXAMPLE,No Mode,No Compute,0.0342,0.0045,0.0206,17.33,0.017,0.338,0.0
93,BROWNBEAR,No Mode,No Compute,0.0341,0.0042,0.0191,5.43,0.017,0.379,1.52
100,SAPPHIRESCIPIONYX,No Mode,No Compute,0.034,0.007,0.0143,0.0,0.0,0.0,0.0
107,SWAGBOT,No Mode,No Compute,0.0338,0.0109,0.0113,3.2,0.026,0.539,0.0
108,ATRIA_MONITOR1,No Mode,No Compute,0.0338,0.0046,0.0175,0.0,0.0,0.0,0.0
111,OPTIMISED1,No Mode,No Compute,0.0338,0.0032,0.0192,0.011,0.02,0.0,0.0
113,MATTIASL_MODEL2,No Mode,No Compute,0.0337,0.0079,0.0183,438.99,0.0022,0.416,0.0
114,CS4,No Mode,No Compute,0.0337,0.0059,0.0176,0.0,0.0,0.0,0.0
115,CS7,No Mode,No Compute,0.0337,0.007,0.0133,0.0,0.0,0.0,0.0
116,TOKIO,No Mode,No Compute,0.0336,0.0044,0.0191,15.33,0.018,0.321,0.0
119,GINGCOU,No Mode,No Compute,0.0336,0.0142,0.0143,0.0,0.0,0.0,0.0
122,CHANNELING,No Mode,No Compute,0.0336,0.0066,0.019,0.0,0.0,0.0,0.0
123,MUSSORGSKY,No Mode,No Compute,0.0335,0.0078,0.0116,0.0,0.0,0.0,0.0
124,LOTHLORIEN,No Mode,No Compute,0.0334,0.0113,0.0103,0.0,0.0,0.0,0.0
125,FXH5,No Mode,No Compute,0.0334,0.0066,0.0155,118.03,0.011,0.353,0.0
127,PSEUDO_RANDOM,No Mode,No Compute,0.0334,0.0067,0.0189,9.75,0.0076,0.343,1.703
128,QUANTS2,No Mode,No Compute,0.0334,0.0093,0.012,0.0,0.0,0.0,0.0
132,CS5,No Mode,No Compute,0.0333,0.0049,0.0143,0.0,0.0,0.0,0.0
133,HELLOZML3,No Mode,No Compute,0.0333,0.0063,0.0136,0.0,0.0,0.0,0.0
135,ANNA3,No Mode,No Compute,0.0333,0.0038,0.0189,25.9,0.01,0.346,1.222
137,CS9,No Mode,No Compute,0.0332,0.0059,0.0141,0.0,0.0,0.0,0.0
143,AKUMEI4,No Mode,No Compute,0.033,0.0039,0.0187,9.13,0.0051,0.35,0.0
154,DESCAI,No Mode,No Compute,0.0327,0.0057,0.0129,24.42,0.0059,0.38,2.471
156,ANNA1,No Mode,No Compute,0.0327,0.0036,0.0193,3.82,0.018,0.301,0.735
162,DURASM_TEST_STACK,No Mode,No Compute,0.0325,0.0052,0.0237,0.0,0.0,0.0,0.0
164,HELLOZML2,No Mode,No Compute,0.0325,0.0062,0.0134,0.0,0.0,0.0,0.0
166,WILDROBOT,No Mode,No Compute,0.0324,0.0072,0.0209,1.37,0.03,0.276,0.0
169,COLT,No Mode,No Compute,0.0322,0.0061,0.0169,69.77,0.013,0.329,2.003
171,K2015,No Mode,No Compute,0.0321,0.0042,0.0168,0.79,0.029,0.367,0.0
174,GM_G,No Mode,No Compute,0.032,0.0091,0.0041,0.0,0.0,0.0,0.0
176,IAREMUN,No Mode,No Compute,0.0319,0.0056,0.0179,59.45,0.0058,0.386,0.0
180,STRAVINSKY,No Mode,No Compute,0.0319,0.0049,0.0144,0.16,0.011,0.396,0.0
181,SARASTI,No Mode,No Compute,0.0318,0.0042,0.0183,0.0,0.0,0.0,0.0
184,V4,No Mode,No Compute,0.0318,0.0055,0.0185,62.27,0.0095,0.362,0.0
185,BOKONON,No Mode,No Compute,0.0317,0.0049,0.0178,0.0,0.0,0.0,0.0
193,DLKL4,No Mode,No Compute,0.0316,0.0079,0.0184,0.0,0.0,0.0,0.0
194,NEUROCOMPUTING1,No Mode,No Compute,0.0316,0.0024,0.016,0.0,0.0,0.0,0.0
196,PYCARCAT,No Mode,No Compute,0.0316,0.0054,0.0154,0.0,0.0,0.0,0.0
198,ANNA5,No Mode,No Compute,0.0315,0.0029,0.0181,0.0,0.0,0.0,0.0
200,ATRIA,No Mode,No Compute,0.0315,0.0022,0.0174,171.37,0.021,0.329,0.0
201,KNOCKONWOOD3,No Mode,No Compute,0.0315,0.0078,0.0115,0.0,0.0,0.0,0.0
203,QUANTS3,No Mode,No Compute,0.0315,0.003,0.0163,0.0,0.0,0.0,0.0
208,CS6,No Mode,No Compute,0.0314,0.0027,0.0159,0.0,0.0,0.0,0.0
211,WILDROBOT3,No Mode,No Compute,0.0313,0.0034,0.0175,19.14,0.022,0.291,0.0
212,GM_L,No Mode,No Compute,0.0313,0.0095,0.0055,0.0,0.0,0.0,0.0
214,PERISTOMATIC,No Mode,No Compute,0.0313,0.0009,0.0165,0.023,0.013,0.358,1.849
222,CELESTE_BASELINE,No Mode,No Compute,0.0312,0.0021,0.0176,0.45,0.015,0.277,0.0
223,KATSUDONDAYO,No Mode,No Compute,0.0312,0.0021,0.0175,0.0,0.0,0.0,0.0
227,KEMO1,No Mode,No Compute,0.0312,0.0019,0.0169,0.0,0.0,0.0,0.0
228,KEMO4,No Mode,No Compute,0.0312,0.0019,0.0169,0.0,0.0,0.0,0.0
2250,MMC,No Mode,No Compute,0.0312,0.0017,0.017,10.95,0.028,0.306,0.0
232,BEANS,No Mode,No Compute,0.0311,0.0043,0.0157,0.0,0.0,0.0,0.0
235,J1703D8,No Mode,No Compute,0.0311,0.0044,0.0126,0.0,0.0,0.0,0.0
238,STAKESTRONG,No Mode,No Compute,0.0311,0.0078,0.0184,0.0,0.016,0.466,2.163
240,CELESTE_JUNO,No Mode,No Compute,0.031,0.0019,0.0179,0.017,0.023,0.268,0.0
242,HIRO_CATBOOST,No Mode,No Compute,0.031,0.0039,0.0175,0.0,0.0,0.0,0.0
246,ZODIAK3,No Mode,No Compute,0.0309,0.0018,0.0165,0.02,0.017,0.272,0.0
251,MIZUNASHIAKARI,No Mode,No Compute,0.0308,0.0016,0.017,0.0,0.0,0.0,0.0
254,MIKEC_2,No Mode,No Compute,0.0308,0.0023,0.0158,0.0,0.0,0.0,0.0
256,TALIPINI,No Mode,No Compute,0.0308,0.002,0.0184,44.5,0.0027,0.313,0.0
259,WACAXXX,No Mode,No Compute,0.0307,0.0013,0.0171,204.63,0.02,0.296,2.346
260,MODEL_T,No Mode,No Compute,0.0307,0.0013,0.0171,0.023,0.02,0.287,0.0
262,KEMO3,No Mode,No Compute,0.0307,0.0013,0.0171,0.0,0.0,0.0,0.0
263,VALUEBET,No Mode,No Compute,0.0307,0.0013,0.0171,0.015,0.02,0.287,0.0
264,ROULETTE,No Mode,No Compute,0.0307,0.0013,0.0171,0.11,0.02,0.287,0.0
265,WACAXXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,16.84,0.02,0.296,0.0
266,LILK,No Mode,No Compute,0.0307,0.0013,0.0171,0.77,0.02,0.287,0.0
267,FIRSTPLACE,No Mode,No Compute,0.0307,0.0013,0.0171,0.019,0.02,0.287,0.0
268,NOTSTR8,No Mode,No Compute,0.0307,0.0013,0.0171,0.016,0.02,0.287,0.0
