total_time,round_number,boosting_type,class_weight,colsample_bytree,importance_type,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,n_estimators,n_jobs,num_leaves,objective,random_state,reg_alpha,reg_lambda,silent,subsample,subsample_for_bin,subsample_freq,feature_fraction,seed,correlation,corr_sharpe,corr_mean,corr_std,max_drawdown,feature_exposure,max_feature_exposure
113.8899,260,gbdt,,1,split,0.022,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0243,0.8951,0.0248,0.0277,-0.0647,0.0843,0.2542
115.832,260,gbdt,,1,split,0.022,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.024,0.8894,0.0245,0.0275,-0.0647,0.084,0.2529
117.0181,260,gbdt,,1,split,0.022,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0244,0.9195,0.0248,0.027,-0.0733,0.0838,0.2535
121.4583,260,gbdt,,1,split,0.022,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0238,0.8834,0.0242,0.0274,-0.0751,0.0832,0.2523
122.9523,260,gbdt,,1,split,0.022,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0229,0.8777,0.0234,0.0266,-0.063,0.0833,0.2541
112.3265,260,gbdt,,1,split,0.024,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0243,0.8909,0.0248,0.0278,-0.0762,0.0825,0.2522
116.1439,260,gbdt,,1,split,0.024,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0248,0.9059,0.0253,0.0279,-0.0807,0.0817,0.2522
115.6773,260,gbdt,,1,split,0.024,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0243,0.9268,0.0247,0.0267,-0.0579,0.0819,0.2493
122.2655,260,gbdt,,1,split,0.024,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0245,0.9186,0.025,0.0272,-0.0643,0.0815,0.2533
123.9355,260,gbdt,,1,split,0.024,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0239,0.9044,0.0243,0.0269,-0.0619,0.0822,0.2511
